NAME,LATITUDE,LONGITUDE,DATE,DT32,DX90,TAVG,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"ROCKY MOUNTAIN NATIONAL PARK, CO US",40.37667,-105.48583,1989,165,7,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROCKY MOUNTAIN NATIONAL PARK, CO US",40.37667,-105.48583,1990,172,1,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROCKY MOUNTAIN NATIONAL PARK, CO US",40.37667,-105.48583,1991,192,0,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROCKY MOUNTAIN NATIONAL PARK, CO US",40.37667,-105.48583,1993,183,1,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAGUARO NATIONAL PARK, AZ US",32.1794,-110.7363,2010,3,135,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAGUARO NATIONAL PARK, AZ US",32.1794,-110.7363,2011,15,142,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAGUARO NATIONAL PARK, AZ US",32.1794,-110.7363,2014,3,133,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAGUARO NATIONAL PARK, AZ US",32.1794,-110.7363,2015,12,134,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAGUARO NATIONAL PARK, AZ US",32.1794,-110.7363,2017,6,170,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1980,257,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1981,224,0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1982,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1983,223,0,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1984,215,0,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1985,226,0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1986,225,0,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1987,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1988,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1989,205,0,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1990,217,0,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1991,209,0,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1993,243,0,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1994,220,0,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1995,223,0,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1996,210,0,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1997,203,0,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEQOUOIA NATIONAL PARK, CA US",36.6044,-118.7325,1999,212,0,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1982,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1983,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1984,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1985,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1986,87,35,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1987,97,42,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1988,103,53,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1989,112,30,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1990,100,40,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1993,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1995,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1996,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1997,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1998,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,1999,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,2000,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,2001,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,2002,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,2003,98,53,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,2012,107,54,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOSEMITE NATIONAL PARK, CA US",37.75027,-119.58972,2017,83,48,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1980,54,105,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1981,43,106,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1982,77,79,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1983,68,103,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1984,90,107,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1985,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1986,50,102,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1987,85,107,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1988,81,117,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1989,76,115,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1990,81,103,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1991,78,124,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1992,66,121,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1993,79,113,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1994,82,123,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1995,49,91,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1996,76,115,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1997,77,107,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1998,70,84,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,1999,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2000,58,132,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2001,68,141,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2002,88,117,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2003,61,140,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2004,61,121,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2005,56,106,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2006,80,118,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2007,74,128,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2008,78,120,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2011,97,109,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2012,72,135,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2013,83,116,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2014,58,121,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2015,60,103,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2016,59,98,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZION NATIONAL PARK, UT US",37.2091,-112.9814,2017,55,110,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
